PC1,PC2
45.83491875848219,-21.95614150429475
79.95869768698095,-4.005452421963139
43.16582656935855,-19.06168724278081
162.29625166128287,28.800101813837053
44.13354007139026,-11.068801324915327
69.0688898924159,-15.66071143962083
-22.22651140051633,2.1437436325097097
-22.219213950525198,2.1523820360558044
-22.220695943518173,2.1502090196251484
-22.221723487099567,2.1489050733360537
-22.221509867699027,2.1488643658551223
-22.2252038104606,2.14466691642229
-22.227126426371235,2.1426797024706814
-22.221197872775097,2.1493440499549084
-22.210285904232236,2.163682875513949
-22.212728431948193,2.158819882205917
-22.222730604316666,2.14709609618749
-22.21486570595978,2.1575263178039132
-22.224740031811525,2.1445761362282307
-22.226011325605285,2.1436173483642884
-22.226213917483918,2.144063168039821
-22.22492166312955,2.14528465028259
-22.228897244976324,2.140746736226146
-22.227104095040968,2.1429973014590176
-22.228516843291125,2.140828490447233
-22.22792611314989,2.1426583207494905
