PC1,PC2,Quality_Label,Day
45.83491875848219,-21.95614150429475,Unknown,Unknown
79.95869768698095,-4.005452421963139,Unknown,Unknown
43.16582656935855,-19.06168724278081,Unknown,Unknown
162.29625166128287,28.800101813837053,Unknown,Unknown
44.13354007139026,-11.068801324915327,Unknown,Unknown
69.0688898924159,-15.66071143962083,Unknown,Unknown
-22.22651140051633,2.1437436325097097,Unknown,Unknown
-22.2192139505252,2.1523820360558044,Unknown,Unknown
-22.220695943518173,2.1502090196251484,Unknown,Unknown
-22.221723487099567,2.1489050733360537,Unknown,Unknown
-22.221509867699027,2.1488643658551223,Unknown,Unknown
-22.2252038104606,2.14466691642229,Unknown,Unknown
-22.227126426371235,2.1426797024706814,Unknown,Unknown
-22.221197872775097,2.1493440499549084,Unknown,Unknown
-22.21028590423224,2.163682875513949,Unknown,Unknown
-22.212728431948197,2.158819882205917,Unknown,Unknown
-22.222730604316663,2.14709609618749,Unknown,Unknown
-22.21486570595978,2.157526317803913,Unknown,Unknown
-22.224740031811525,2.1445761362282307,Unknown,Unknown
-22.226011325605285,2.1436173483642884,Unknown,Unknown
-22.22621391748392,2.144063168039821,Unknown,Unknown
-22.22492166312955,2.14528465028259,Unknown,Unknown
-22.228897244976324,2.140746736226146,Unknown,Unknown
-22.227104095040968,2.1429973014590176,Unknown,Unknown
-22.228516843291125,2.140828490447233,Unknown,Unknown
-22.22792611314989,2.1426583207494905,Unknown,Unknown
